Date,Open,High,Low,Close,Adjusted_close,Volume
2021-08-20,1.4668802588578,1.5603450796538,1.454650650694,1.5427116253012,1.5427116253012,1220289358
2021-08-21,1.5503605118794,1.693808008911,1.5215284258618,1.5952603762067,1.5952603762067,1511400829
2021-08-22,1.5881188127076,1.6596680239001,1.5669437590556,1.6295522252735,1.6295522252735,988844045
2021-08-23,1.6275070526556,1.6833372189919,1.5960867760924,1.6242278145241,1.6242278145241,860663659
2021-08-24,1.6236231027807,1.6280007063118,1.4518019667814,1.4798090059814,1.4798090059814,883968352
2021-08-25,1.4765914846248,1.5468097369127,1.4251529913355,1.5278392997826,1.5278392997826,739830325
2021-08-26,1.5283950243229,1.5466840381771,1.3750070342677,1.3979424203227,1.3979424203227,708341807
2021-08-27,1.3785231280038,1.5194826033827,1.3563800428192,1.5092159962098,1.5092159962098,766269427
2021-08-28,1.5162708776521,1.52780960819,1.4465141503209,1.4567785990314,1.4567785990314,464350168
2021-08-29,1.4582761156851,1.4808824773581,1.4048220293055,1.4250363024267,1.4250363024267,405763785
2021-08-30,1.4221714920718,1.4223479928127,1.3192579393701,1.3204952727322,1.3204952727322,586906637
2021-08-31,1.3182341073778,1.4166498023537,1.308511697457,1.3487009002568,1.3487009002568,825940875
2021-09-01,1.3424226685873,1.4858779705071,1.3145494133763,1.4669387076187,1.4669387076187,1367017157
2021-09-02,1.4706006495055,1.5169132362045,1.4388516022115,1.4489997136031,1.4489997136031,918048242
2021-09-03,1.4472072177897,1.4954301152664,1.4125265464011,1.4550171986677,1.4550171986677,643617461
2021-09-04,1.4567519728279,1.7366197262259,1.4482909434071,1.7366197262259,1.7366197262259,2051301528
2021-09-05,1.7370427612377,1.7923232685597,1.6415378724391,1.6769189757735,1.6769189757735,1624520613
2021-09-06,1.6791268663373,1.7163493219194,1.5911625451932,1.6453738266587,1.6453738266587,1113643729
2021-09-07,1.6446429955112,1.6924192917269,1.2177415872372,1.3655449077283,1.3655449077283,2368260919
2021-09-08,1.3591154256555,1.3791083748145,1.2011737321433,1.3305085269919,1.3305085269919,1603756374
2021-09-09,1.3339793500689,1.4486346326319,1.2945364487986,1.3632550575056,1.3632550575056,1409789694
2021-09-10,1.3680094982145,1.4583847729084,1.2778817248556,1.3045590102475,1.3045590102475,1119033270
2021-09-11,1.3058554185279,1.3677861861142,1.2823385157559,1.310410303998,1.310410303998,635738528
2021-09-12,1.3151683794368,1.3694254176258,1.2931560289919,1.3316939461214,1.3316939461214,561138028
2021-09-13,1.3307116400309,1.3475320577988,1.2093780884589,1.2541363629066,1.2541363629066,703386793
2021-09-14,1.2486321412718,1.3409584325521,1.2413190128554,1.3163966339577,1.3163966339577,675857577
2021-09-15,1.3175853127034,1.4184450246416,1.3175853127034,1.4072541645164,1.4072541645164,606880795
2021-09-16,1.4139888892416,1.4940000127481,1.3553250395469,1.3869971180812,1.3869971180812,980032192
2021-09-17,1.3844995255655,1.4313069536939,1.3064161447721,1.4178025839989,1.4178025839989,921832342
2021-09-18,1.4220496891678,1.4357843387571,1.3420427013954,1.3637282396912,1.3637282396912,567464365
2021-09-19,1.3657055588771,1.3696965965434,1.3060544818283,1.3151049505911,1.3151049505911,429396201
2021-09-20,1.3150600893375,1.3159093572576,1.109386635821,1.1371053348346,1.1371053348346,1049012820
2021-09-21,1.1347030393114,1.1830404902846,1.031343549244,1.0448533784232,1.0448533784232,942334916
2021-09-22,1.0451755318976,1.2258745663902,1.034659548591,1.2258745663902,1.2258745663902,901493530
2021-09-23,1.2297974164407,1.2408783572789,1.1838627579461,1.2215919365999,1.2215919365999,521597409
2021-09-24,1.2246837768843,1.2294627386559,1.0664534676955,1.1266261069835,1.1266261069835,683475597
2021-09-25,1.1277243604533,1.1425308365753,1.0882403758403,1.1259732558985,1.1259732558985,432989958
2021-09-26,1.1226791882009,1.1629653837533,1.0374922486212,1.1252397061001,1.1252397061001,556631653
2021-09-27,1.1240487415018,1.1659496701043,1.0881524233217,1.0906221728167,1.0906221728167,379965420
2021-09-28,1.0888137414688,1.1117257613611,1.0505321577845,1.0508407669938,1.0508407669938,334890483
2021-09-29,1.0514673803054,1.1106795987634,1.0485933399558,1.1008633660892,1.1008633660892,396796732
2021-09-30,1.1014129714954,1.1455040838665,1.099488964343,1.1266165630312,1.1266165630312,365499851
2021-10-01,1.1276215332846,1.2649386764992,1.1276215332846,1.2649386764992,1.2649386764992,667544960
2021-10-02,1.2665706977752,1.3476342997674,1.2252718678515,1.2959037952098,1.2959037952098,528677632
2021-10-03,1.2965965424789,1.3389294977395,1.2811502932519,1.3247041612035,1.3247041612035,500729481
2021-10-04,1.3261741885169,1.3261741885169,1.24686338023,1.2770322596225,1.2770322596225,506949110
2021-10-05,1.2767271628814,1.3352992193204,1.2708641055358,1.3138679055207,1.3138679055207,449419059
2021-10-06,1.3155655875992,1.3179369015883,1.2109068695906,1.2594346576982,1.2594346576982,575102353
2021-10-07,1.2589674519057,1.3092995550108,1.234505423394,1.2790482110651,1.2790482110651,585687523
2021-10-08,1.2770859464381,1.4299610199818,1.2745582668732,1.3395646831367,1.3395646831367,997698096
2021-10-09,1.3432442449551,1.3775766959984,1.3318565887121,1.3525105682904,1.3525105682904,464744129
2021-10-10,1.352275752417,1.3573599318067,1.2471196831697,1.2471196831697,1.2471196831697,395489823
2021-10-11,1.2472798873465,1.3053684841521,1.2221623405374,1.2406743113756,1.2406743113756,414674518
2021-10-12,1.2425298165225,1.2425298165225,1.1587754815483,1.2204933182257,1.2204933182257,517631874
2021-10-13,1.2228623501453,1.2594912047908,1.1980681704899,1.2405538092745,1.2405538092745,432649955
2021-10-14,1.2410024190947,1.2881785419433,1.2327697423914,1.2646728567686,1.2646728567686,433809954
2021-10-15,1.2641875872222,1.6231305883003,1.2384591104572,1.5767233117242,1.5767233117242,4824690404
2021-10-16,1.5950421585753,1.5950421585753,1.5005711846985,1.5089898662301,1.5089898662301,1482095962
2021-10-17,1.5062669015578,1.5439764391639,1.4176923331385,1.4597699825145,1.4597699825145,682016310
2021-10-18,1.4580349412911,1.6075983299832,1.4461579475502,1.4790106274262,1.4790106274262,1384289412
2021-10-19,1.4809061013783,1.5198098043749,1.439064751339,1.4763715693856,1.4763715693856,635199022
2021-10-20,1.4738864978179,1.5467031066227,1.4505074760128,1.5303803316745,1.5303803316745,782376346
2021-10-21,1.5327629942406,1.619242883655,1.4854772137352,1.5093253279146,1.5093253279146,1164458687
2021-10-22,1.507464686412,1.5672140321613,1.4998792463573,1.5143576902458,1.5143576902458,855147610
2021-10-23,1.5145450699704,1.6706761152632,1.5016668642159,1.6405391189765,1.6405391189765,1310443634
2021-10-24,1.6419008022046,1.6429567633608,1.5355549194568,1.5719673242806,1.5719673242806,816070406
2021-10-25,1.5750633526806,1.6729798509794,1.5694611107556,1.6699969881817,1.6699969881817,934387496
2021-10-26,1.6654228394237,1.8771318019062,1.6624475303901,1.8018095128886,1.8018095128886,2001997286
2021-10-27,1.8010376819298,1.9277693499376,1.6574137114995,1.7802844775829,1.7802844775829,3402137835
2021-10-28,1.764031779374,2.1653858734195,1.764031779374,2.1154455865717,2.1154455865717,4176182729
2021-10-29,2.1297001859965,2.2080657921132,1.9302383564922,2.025990574807,2.025990574807,2584843802
2021-10-30,2.0224263404917,2.0224263404917,1.8389294076156,1.8619454152405,1.8619454152405,1236047732
2021-10-31,1.8683780298751,1.9877437586647,1.8129872148085,1.9360633226895,1.9360633226895,1384449962
2021-11-01,1.9347848843648,1.9705649095252,1.8478961590346,1.9076805812908,1.9076805812908,1097901835
2021-11-02,1.9057123504022,1.9664548705136,1.8673473478362,1.936366523516,1.936366523516,1134323663
2021-11-03,1.9380662687535,2.1426467597767,1.9380662687535,2.0312244035409,2.0312244035409,2068153920
2021-11-04,2.0355946375968,2.0355946375968,1.8715484482914,1.9176814504675,1.9176814504675,1026182352
2021-11-05,1.9183072625235,1.9497057707616,1.8713778034261,1.898389514852,1.898389514852,621952908
2021-11-06,1.8994425705242,1.9237733293892,1.8207941197255,1.8845331588831,1.8845331588831,543010056
2021-11-07,1.8853143235105,1.9136444449812,1.8583639741672,1.8825699907693,1.8825699907693,466498350
2021-11-08,1.8846871120214,1.9339715291688,1.8685531052935,1.8961903803221,1.8961903803221,877999216
2021-11-09,1.8956040770514,1.8969652986929,1.7687947084632,1.7722144724371,1.7722144724371,1191777223
2021-11-10,1.7790165090183,1.8912002590568,1.6048848890188,1.707668358892,1.707668358892,1529493361
2021-11-11,1.7065862928238,1.7868134499665,1.6736809384971,1.7640406331824,1.7640406331824,898907335
2021-11-12,1.7613305772053,1.7759432187788,1.6507036147647,1.7207064479158,1.7207064479158,760540485
2021-11-13,1.7218485276784,1.7699768518447,1.7054567479849,1.7579578996011,1.7579578996011,573206699
2021-11-14,1.7581094615357,1.7761602685884,1.6906295452859,1.7283763777163,1.7283763777163,467131009
2021-11-15,1.729100361611,1.7628338625544,1.7004150962984,1.7004150962984,1.7004150962984,510855860
2021-11-16,1.6984587112155,1.6984587112155,1.5015499617746,1.5728872423011,1.5728872423011,934219615
2021-11-17,1.5681178356874,1.6652808099269,1.5039707330844,1.6380728771777,1.6380728771777,900996820
2021-11-18,1.6377667128948,1.6744264413093,1.4662982898613,1.4878203176626,1.4878203176626,859565158
2021-11-19,1.4971579854144,1.6247689359813,1.4842007786072,1.6185458892144,1.6185458892144,699851617
2021-11-20,1.6200893147728,1.6829986451022,1.5636047923004,1.6691122996477,1.6691122996477,535461753
2021-11-21,1.6732554459875,1.6732554459875,1.6091773058649,1.6118062354678,1.6118062354678,477159332
2021-11-22,1.6051598922007,1.6127257811111,1.5341351652827,1.5631740770767,1.5631740770767,658334575
2021-11-23,1.5630393416359,1.7584921747994,1.5487842699039,1.7557558890289,1.7557558890289,1052617454
2021-11-24,1.7528113355323,1.8208655758718,1.6631059519346,1.6959712464211,1.6959712464211,1309951342
2021-11-25,1.6897368155613,1.9243232798774,1.6741248547759,1.9130654379103,1.9130654379103,1807011311
2021-11-26,1.921589831838,1.9623104156514,1.6002146274696,1.6407886021558,1.6407886021558,1721499627
2021-11-27,1.6370305939846,1.7229322687569,1.5924257707761,1.6073314808829,1.6073314808829,716110580
2021-11-28,1.6124267968579,1.6606035800876,1.519658554108,1.6529452296416,1.6529452296416,816857378
2021-11-29,1.6536252902923,1.8253722786149,1.6342611119235,1.8186634495309,1.8186634495309,976944900
2021-11-30,1.8172940415495,1.8593838279796,1.7087268476476,1.7910248477758,1.7910248477758,1358050869
2021-12-01,1.7872042239063,2.0808445001821,1.7784517848292,2.0157671889007,2.0157671889007,2431993276
2021-12-02,2.0094289074475,2.1969510763767,1.957786293515,2.1223991827993,2.1223991827993,3551992615
2021-12-03,2.1288144955039,2.3886754747542,2.0870162408336,2.2887594406286,2.2887594406286,4520547134
2021-12-04,2.2694155971853,2.2974115365332,1.7134209678269,1.970579020619,1.970579020619,4333624049
2021-12-05,1.9829102464919,2.1909325025339,1.8970609286991,2.0291879277948,2.0291879277948,3043151728
2021-12-06,2.0482221600281,2.2890487989639,1.7364672583551,2.268481528248,2.268481528248,4325208180
2021-12-07,2.27294298079,2.5098238256304,2.244687077206,2.3610743990374,2.3610743990374,4688433106
2021-12-08,2.3554533821396,2.5410270034175,2.2395827407049,2.4200459721802,2.4200459721802,4186430479
2021-12-09,2.4219814463929,2.4270258004158,2.0796809156548,2.1090240057625,2.1090240057625,3375708624
2021-12-10,2.1031893359385,2.2847180164885,2.0668824124326,2.1024506758312,2.1024506758312,2498056396
2021-12-11,2.1091808176644,2.1514732553829,2.0470243197137,2.1293586079748,2.1293586079748,1903286535
2021-12-12,2.1290269706032,2.1338648701837,2.0376020522713,2.0890724336392,2.0890724336392,1228973325
2021-12-13,2.0882101628906,2.0909270567882,1.7650353276632,1.8252937786836,1.8252937786836,2100997940
2021-12-14,1.8232126106242,1.9421415730496,1.7489725150896,1.9421415730496,1.9421415730496,1945631750
2021-12-15,1.9387051361059,2.1982086220794,1.8501229719693,2.120341168792,2.120341168792,2860578436
2021-12-16,2.1227513152334,2.1969151851675,2.0767571060849,2.0881989291142,2.0881989291142,2034479088
2021-12-17,2.073979010771,2.1446645861363,1.9556675366626,2.137515879279,2.137515879279,1990966368
2021-12-18,2.1324187666771,2.2521785035074,2.0707918656645,2.2345272255978,2.2345272255978,1874218609
2021-12-19,2.2333525134124,2.2896093516602,2.1749375161577,2.2309136778105,2.2309136778105,1504483433
2021-12-20,2.22740867646,2.2446846768347,2.0571932636745,2.1356956474413,2.1356956474413,1673114023
2021-12-21,2.1287440543415,2.3934831308077,2.1173144353821,2.3727141745394,2.3727141745394,2139991952
2021-12-22,2.3772640047848,2.643748217898,2.3772640047848,2.502603869299,2.502603869299,3106832801
2021-12-23,2.5022853499913,2.7247550981503,2.4839542673573,2.6777748334274,2.6777748334274,3424693281
2021-12-24,2.6801531679162,2.6801531679162,2.4378594981388,2.4600539944511,2.4600539944511,1848761360
2021-12-25,2.4544392827938,2.6802430452714,2.4413658304274,2.6538639200036,2.6538639200036,1512742360
2021-12-26,2.6481810191837,2.8864024350548,2.6309594737049,2.8847461462293,2.8847461462293,2869417240
2021-12-27,2.8803487877121,2.9145988541932,2.7313191749371,2.7341248900244,2.7341248900244,1822468475
2021-12-28,2.7282757459906,2.7282757459906,2.4626790736549,2.5119672036292,2.5119672036292,2581766512
2021-12-29,2.4991017236499,2.614404382296,2.4156145143207,2.4733969576685,2.4733969576685,2213828746
2021-12-30,2.4779909788692,2.5922195446101,2.4336188675804,2.5545403122974,2.5545403122974,1770954832
2021-12-31,2.5558512480916,2.6639694844401,2.4535526542087,2.5306464672628,2.5306464672628,1621724688
2022-01-01,2.5301203661361,2.5985098936426,2.5150714406126,2.5708249468706,2.5708249468706,980638039
2022-01-02,2.574882127477,2.5753860867049,2.5095420348867,2.5498971177902,2.5498971177902,937646296
2022-01-03,2.5505670945829,2.5505670945829,2.3931489931353,2.4333203822655,2.4333203822655,1147161591
2022-01-04,2.4358048145975,2.4936690670518,2.3775771657428,2.3914873403439,2.3914873403439,1299200726
2022-01-05,2.3886313042893,2.4495406292841,2.0823762647928,2.1949404822855,2.1949404822855,1490337567
2022-01-06,2.1904390135372,2.2842684523572,2.0793700456484,2.2506309111099,2.2506309111099,1650896109
2022-01-07,2.2532259065584,2.259695681024,2.0502320731866,2.0502320731866,2.0502320731866,1512914335
2022-01-08,2.0502456400377,2.141912699615,1.900540325898,2.0077079319546,2.0077079319546,1074788849
2022-01-09,1.9906283409441,2.1616074883329,1.9769415199866,2.1208749546388,2.1208749546388,869567746
2022-01-10,2.1160192271547,2.1460777875995,1.9356807193136,2.0686378057939,2.0686378057939,1266349304
2022-01-11,2.0744171070523,2.3651182900873,2.0561133142295,2.3594652378023,2.3594652378023,1998679815
2022-01-12,2.3596326696361,2.4402723423564,2.3168101970337,2.3887294103229,2.3887294103229,1722423036
2022-01-13,2.3960309594872,2.4312274715978,2.2498494371988,2.2682007335687,2.2682007335687,1399338167
2022-01-14,2.2644006375446,2.3478831232662,2.1942678785146,2.3405625694679,2.3405625694679,1226966383
2022-01-15,2.3382171815775,2.3959423816346,2.3104750141466,2.358940705527,2.358940705527,908059235
2022-01-16,2.3563013214715,2.3683243369665,2.2950168789669,2.3314490450077,2.3314490450077,808063983
2022-01-17,2.3318618104905,2.4430945461546,2.1761791522346,2.2196442708789,2.2196442708789,1519921393
2022-01-18,2.2234614050775,2.2436146697795,2.0912439270752,2.1292540030705,2.1292540030705,1167345487
2022-01-19,2.1282119125286,2.1374239128076,2.0226628824123,2.0358999517019,2.0358999517019,1233995854
2022-01-20,2.0358989592035,2.1856333206676,1.9663210532819,1.9663210532819,1.9663210532819,1038807202
2022-01-21,1.9671069133884,2.0224415939238,1.6707322238918,1.6937734777265,1.6937734777265,1837922767
2022-01-22,1.7027697048173,1.7544280646472,1.4221382280464,1.5303491370673,1.5303491370673,2206554659
2022-01-23,1.5333928524382,1.6653822234471,1.5174153336627,1.6168888327836,1.6168888327836,1195148186
2022-01-24,1.6193820555259,1.6193820555259,1.3160669380941,1.5113581551585,1.5113581551585,1923105671
2022-01-25,1.5082896302467,1.6097502637586,1.4143759896223,1.5586000521507,1.5586000521507,1258297356
2022-01-26,1.5537502078726,1.7869241648304,1.5343696491147,1.5906144949194,1.5906144949194,1908416173
2022-01-27,1.5900089314444,1.6658530009926,1.5027157987345,1.5915960596162,1.5915960596162,1099077089
2022-01-28,1.5914999581464,1.6967432336371,1.5729286291088,1.6826140155985,1.6826140155985,1334522971
2022-01-29,1.6798244586805,1.7402305803935,1.6657699159276,1.6953091753165,1.6953091753165,812912669
2022-01-30,1.6966836977786,1.7044693114779,1.606138625061,1.6306832621207,1.6306832621207,676155206
2022-01-31,1.6271937850663,1.6516327191463,1.5390957700543,1.6420169124175,1.6420169124175,595813791
2022-02-01,1.6448622417355,1.6826143698257,1.6278634329457,1.6518685515868,1.6518685515868,707893093
2022-02-02,1.6502694829131,1.6634535054658,1.5329423772731,1.537752881893,1.537752881893,595871780
2022-02-03,1.5411469548721,1.5488904294436,1.485862832466,1.5455362775663,1.5455362775663,599659674
2022-02-04,1.5536685680038,1.6910767200274,1.5404136290103,1.6910767200274,1.6910767200274,904977905
2022-02-05,1.6924313367472,1.7541769707739,1.6856780891892,1.7147525741246,1.7147525741246,830214831
2022-02-06,1.7160139440341,1.7542306895726,1.6813988579089,1.7300916121674,1.7300916121674,645243687
2022-02-07,1.7424723498053,2.0714582227492,1.7039331666785,2.0295685253799,2.0295685253799,1979256416
2022-02-08,2.0209278784972,2.0430957764488,1.8627780957083,1.9527404621142,1.9527404621142,1590791894
2022-02-09,1.9503334720908,2.0587848224712,1.897974930314,2.048814784772,2.048814784772,1278175970
2022-02-10,2.0392198120476,2.0392198120476,1.8882508085785,1.8960552816919,1.8960552816919,1498222875
2022-02-11,1.895916790789,1.8981990238612,1.6881152236856,1.7161651023417,1.7161651023417,1352231372
2022-02-12,1.7150521016795,1.7607372286145,1.6579847602858,1.6946186907489,1.6946186907489,852065684
2022-02-13,1.7013091875731,1.7214062230075,1.6494380017721,1.6748566555722,1.6748566555722,607680299
2022-02-14,1.6666865219619,1.6803241187725,1.6062411728558,1.6693262773013,1.6693262773013,787171067
2022-02-15,1.6682690976942,1.8702566461798,1.6658788353505,1.8636470430307,1.8636470430307,1052641791
2022-02-16,1.8654953060647,1.8750290109525,1.7600833116084,1.8440322638002,1.8440322638002,1010192224
2022-02-17,1.8429377391551,1.8608712225907,1.6593449611782,1.6593449611782,1.6593449611782,914656540
2022-02-18,1.6637622366003,1.7097092979935,1.5910524939038,1.6012672405123,1.6012672405123,835434643
2022-02-19,1.5959350999698,1.6400882247655,1.5662555590893,1.6327856347402,1.6327856347402,585211026
2022-02-20,1.6333886047758,1.6350032186805,1.5060630830253,1.523180356719,1.523180356719,722090176
2022-02-21,1.5196892725269,1.6108604767891,1.4065709036755,1.4065709036755,1.4065709036755,1012478447
2022-02-22,1.4091688830497,1.4706028116271,1.3576444867969,1.4679391649519,1.4679391649519,1095916547
2022-02-23,1.4660954542221,1.5919662358596,1.4448534076908,1.4448534076908,1.4448534076908,943204933
2022-02-24,1.4390221477951,1.4971299675812,1.2573457994561,1.4391842427182,1.4391842427182,1978193149
2022-02-25,1.4412829957868,1.5723790998987,1.4126295811185,1.5527070149603,1.5527070149603,1136624988
